Date,US,Sweden,Norway,Korea,Canada,New Zealand,United Kingdom,Australia,Japan,Switzerland
Apr-89,9.88%,10.92%,10.79%,15.80%,10.55%,13.23%,9.88%,13.65%,5.22%,4.88%
Mar-89,10.06%,10.52%,10.77%,12.70%,10.25%,13.10%,9.72%,13.65%,5.15%,4.79%
Feb-89,10.06%,10.48%,11.33%,12.50%,10.13%,13.38%,9.96%,13.30%,4.89%,4.58%
Jan-89,9.25%,10.93%,11.97%,12.30%,10.12%,13.80%,10.14%,12.95%,4.80%,4.11%
Dec-88,9.19%,11.05%,12.49%,13.10%,10.02%,13.20%,9.86%,12.35%,4.69%,4.11%
Nov-88,9.56%,11.36%,12.78%,13.20%,9.85%,12.82%,9.69%,11.90%,4.50%,3.98%
Oct-88,8.44%,11.47%,12.90%,13.50%,10.15%,12.76%,10.10%,11.95%,4.50%,4.10%
Sep-88,8.38%,11.56%,12.85%,14.30%,10.24%,12.74%,9.91%,11.80%,4.94%,4.18%
Aug-88,8.38%,11.36%,12.75%,14.20%,9.90%,12.69%,9.84%,11.95%,5.06%,4.19%
Jul-88,8.13%,11.29%,12.81%,13.15%,9.72%,12.81%,9.51%,11.95%,4.75%,4.01%
Jun-88,7.81%,11.53%,13.06%,12.10%,9.94%,12.78%,9.41%,12.30%,4.50%,3.98%
May-88,7.63%,11.39%,13.18%,12.10%,9.69%,12.95%,9.20%,11.50%,4.19%,3.77%
Apr-88,7.13%,11.33%,13.25%,12.30%,9.42%,13.05%,9.22%,11.90%,4.06%,3.92%
Mar-88,6.81%,11.29%,13.33%,13.30%,9.20%,13.66%,9.52%,12.30%,4.13%,3.93%
Feb-88,6.81%,11.66%,13.38%,12.40%,9.72%,14.13%,9.71%,12.40%,4.31%,3.94%
Jan-88,6.81%,11.71%,13.34%,12.80%,10.12%,14.41%,9.63%,12.85%,4.19%,3.95%
Dec-87,7.19%,11.59%,13.27%,12.70%,9.88%,15.17%,9.23%,13.30%,4.38%,3.86%
Nov-87,8.19%,12.00%,12.95%,13.00%,10.44%,15.65%,10.14%,13.65%,4.44%,4.12%
Oct-87,7.13%,12.02%,12.77%,13.40%,10.72%,15.67%,10.21%,12.50%,4.50%,4.33%
Sep-87,7.75%,11.97%,13.27%,12.70%,10.10%,15.65%,10.13%,12.95%,5.00%,4.06%
Aug-87,7.13%,11.77%,13.43%,12.60%,9.57%,15.58%,9.29%,12.95%,4.06%,3.98%
Jul-87,6.81%,11.78%,13.46%,11.80%,9.33%,15.49%,8.93%,12.80%,4.06%,4.02%
Jun-87,7.06%,11.78%,13.43%,12.30%,9.59%,15.70%,8.80%,13.00%,4.06%,4.07%
May-87,7.25%,11.16%,13.38%,12.10%,8.83%,16.00%,9.14%,13.05%,3.94%,4.04%
Apr-87,6.81%,11.23%,13.40%,13.00%,8.28%,16.76%,9.11%,13.45%,4.00%,4.04%
Mar-87,6.56%,11.47%,13.41%,12.10%,8.46%,16.44%,9.97%,14.00%,4.06%,4.01%
Feb-87,6.50%,11.68%,13.55%,11.70%,8.33%,16.00%,10.27%,13.80%,4.38%,3.93%
Jan-87,6.25%,10.99%,13.63%,11.70%,8.67%,16.20%,10.98%,13.40%,4.31%,4.05%
Dec-86,6.56%,8.95%,13.25%,12.10%,8.90%,15.58%,11.08%,13.60%,4.63%,4.09%
Nov-86,6.01%,8.52%,13.12%,11.70%,9.17%,15.25%,10.92%,13.60%,4.63%,4.08%
Oct-86,6.00%,8.28%,13.21%,11.10%,9.00%,15.64%,10.28%,13.85%,4.69%,4.18%
Sep-86,6.13%,8.36%,13.35%,11.70%,8.83%,16.07%,9.66%,14.10%,5.00%,4.12%
Aug-86,5.75%,8.79%,13.35%,11.60%,8.87%,15.94%,9.61%,14.20%,4.81%,4.32%
Jul-86,6.50%,8.82%,13.27%,12.20%,9.12%,15.07%,9.45%,12.95%,4.81%,4.43%
Jun-86,7.00%,9.05%,13.02%,11.50%,8.93%,15.65%,9.15%,12.65%,4.75%,4.40%
May-86,7.06%,10.05%,13.05%,12.20%,8.85%,17.64%,8.94%,12.25%,4.88%,4.26%
Apr-86,6.94%,10.29%,13.37%,11.50%,9.40%,17.87%,9.69%,12.60%,4.88%,4.17%
Mar-86,7.50%,9.72%,13.48%,11.20%,9.97%,18.48%,10.73%,13.70%,5.13%,4.26%
Feb-86,7.88%,9.91%,13.49%,11.00%,10.04%,17.98%,11.13%,14.10%,5.94%,4.41%
Jan-86,8.06%,11.21%,13.26%,11.00%,9.72%,16.93%,10.78%,14.85%,6.19%,4.42%
Dec-85,8.01%,10.90%,13.00%,11.90%,10.02%,17.38%,10.69%,15.05%,6.69%,4.51%
Nov-85,8.19%,11.54%,12.97%,11.80%,10.67%,18.62%,10.52%,14.55%,7.81%,4.58%
Oct-85,8.06%,12.40%,12.99%,12.30%,10.79%,18.27%,10.68%,13.80%,7.88%,4.65%
Sep-85,8.00%,12.55%,13.00%,12.80%,10.60%,17.83%,10.69%,13.95%,6.44%,4.69%
Aug-85,8.06%,12.55%,13.01%,12.90%,10.59%,17.30%,10.77%,13.40%,6.44%,4.78%
Jul-85,8.06%,12.81%,12.92%,13.10%,10.52%,17.24%,11.03%,13.50%,6.38%,4.78%
Jun-85,7.75%,13.21%,12.87%,13.70%,11.07%,18.71%,11.23%,13.80%,6.38%,4.74%
May-85,7.56%,12.48%,12.87%,14.60%,11.55%,17.73%,11.07%,13.95%,6.38%,4.76%
Apr-85,8.50%,11.55%,12.81%,14.80%,12.16%,17.43%,11.33%,13.80%,6.38%,4.87%
Mar-85,8.88%,11.55%,12.74%,15.00%,11.86%,17.35%,11.49%,13.70%,6.38%,4.93%
Feb-85,9.00%,11.55%,12.50%,15.00%,11.41%,17.10%,11.36%,13.10%,6.44%,4.71%
Jan-85,8.63%,9.54%,11.80%,15.00%,11.66%,16.85%,10.87%,13.40%,6.38%,4.60%
Dec-84,8.50%,10.45%,11.40%,15.20%,11.93%,16.90%,10.73%,13.25%,6.25%,4.62%
Nov-84,9.82%,10.28%,12.80%,15.20%,12.54%,16.65%,11.10%,13.20%,6.44%,4.74%
Oct-84,10.90%,10.91%,12.30%,14.80%,12.77%,15.31%,11.23%,13.10%,6.38%,4.68%
Sep-84,11.58%,11.54%,11.90%,14.60%,12.91%,15.03%,11.41%,12.80%,6.38%,4.62%
Aug-84,11.82%,11.52%,12.70%,14.70%,13.73%,10.25%,12.07%,13.15%,6.44%,4.66%
Jul-84,12.03%,11.54%,13.00%,14.40%,13.67%,10.06%,11.59%,13.75%,6.38%,4.53%
Jun-84,12.08%,10.26%,12.80%,14.40%,13.64%,8.55%,11.38%,14.15%,6.31%,4.64%
May-84,11.66%,9.97%,13.70%,14.10%,13.24%,8.91%,10.85%,13.90%,6.00%,4.47%
Apr-84,10.90%,8.91%,13.60%,13.20%,12.84%,10.44%,10.66%,14.10%,5.88%,4.38%
Mar-84,10.59%,9.09%,13.90%,13.60%,11.87%,11.53%,10.87%,14.00%,6.56%,4.39%
Feb-84,10.04%,9.68%,14.00%,13.70%,11.72%,10.84%,10.77%,13.50%,5.81%,4.31%
Jan-84,9.90%,10.19%,15.40%,13.90%,11.79%,10.50%,10.77%,13.50%,6.19%,4.16%
Dec-83,10.11%,10.20%,13.80%,13.10%,11.52%,10.61%,10.68%,13.20%,6.44%,4.25%
Nov-83,9.94%,10.53%,14.00%,13.10%,11.55%,10.57%,11.02%,13.40%,6.00%,4.26%
